cell_id,n,kind,param,p,reject
iTransformer_Weather_h96_fredf_s2021_det,5175,block,512.0,0.0,1
iTransformer_Weather_h96_fredf_s2021_det,5175,partial,0.05,0.0,1
iTransformer_Weather_h96_fredf_s2021_det,5175,partial,0.1,0.0,1
iTransformer_Weather_h96_fredf_s2021_det,5175,partial,0.25,7.271089670352582e-285,1
iTransformer_Weather_h96_fredf_s2021_det,5175,partial,0.5,3.2373746494804173e-65,1
iTransformer_Weather_h96_fredf_s2021_det,5175,partial,1.0,0.5791164428507742,0
DLinear_ETTm2_h96_none_s2021_shuf,11425,block,8.0,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,block,32.0,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,block,128.0,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,block,512.0,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,partial,0.05,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,partial,0.1,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,partial,0.25,0.0,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,partial,0.5,5.328268420284984e-147,1
DLinear_ETTm2_h96_none_s2021_shuf,11425,partial,1.0,0.9327651236256688,0
PatchTST_ETTh1_h336_fredf_s2021_det,2545,block,8.0,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,block,32.0,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,block,128.0,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,block,512.0,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,partial,0.05,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,partial,0.1,0.0,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,partial,0.25,7.044223866630618e-211,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,partial,0.5,5.937554821606262e-39,1
PatchTST_ETTh1_h336_fredf_s2021_det,2545,partial,1.0,0.5440276759355648,0
DLinear_ETTh2_h96_none_s2021_shuf,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,partial,0.25,1.5000004817897272e-192,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,partial,0.5,1.565231003625414e-49,1
DLinear_ETTh2_h96_none_s2021_shuf,2785,partial,1.0,0.8806278659280509,0
iTransformer_ILI_h48_fredf_s2021_det,50,block,8.0,4.559048041979377e-10,1
iTransformer_ILI_h48_fredf_s2021_det,50,block,32.0,4.7765595923846745e-12,1
iTransformer_ILI_h48_fredf_s2021_det,50,partial,0.05,2.1275752807182675e-11,1
iTransformer_ILI_h48_fredf_s2021_det,50,partial,0.1,1.821508334460241e-11,1
iTransformer_ILI_h48_fredf_s2021_det,50,partial,0.25,5.550055967885609e-07,1
iTransformer_ILI_h48_fredf_s2021_det,50,partial,0.5,0.7268625929361779,0
iTransformer_ILI_h48_fredf_s2021_det,50,partial,1.0,0.13398185010039754,0
DLinear_ETTh1_h336_fredf_s2022_det,2545,block,8.0,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,block,32.0,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,block,128.0,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,block,512.0,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,partial,0.05,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,partial,0.1,0.0,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,partial,0.25,2.965377584370603e-181,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,partial,0.5,7.007324221159705e-41,1
DLinear_ETTh1_h336_fredf_s2022_det,2545,partial,1.0,0.7250004100775831,0
DLinear_ETTm1_h96_none_s2023_det,11425,block,8.0,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,block,32.0,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,block,128.0,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,block,512.0,0.0,1
