cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,2023,deterministic,val,2545,index_order,0.9994083588037246,50.46257885883964,0.0,0.019812729812352693,1
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,2023,deterministic,val,2545,full_permutation,0.021827155719690145,1.1215131731540964,0.13103474370171425,0.019812729812352693,0
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,2023,deterministic,test,2545,index_order,0.9970682866159852,50.34588595487741,0.0,0.019812172324685438,1
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,2023,deterministic,test,2545,full_permutation,0.0327701678193224,1.6738825524452037,0.047076841919866684,0.019812172324685438,1
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,2023,shuffled,val,2545,index_order,0.9994170494721103,50.4630163517061,0.0,0.019812730262988215,1
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,2023,shuffled,val,2545,full_permutation,-0.026227820161437192,-1.303946405039001,0.9038740717098166,0.019812730262988215,0
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,2023,shuffled,val,2545,observed_loader_order,-0.008076031925347985,-0.38777846679183176,0.6509100089676875,0.019812730262988215,0
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,2023,shuffled,test,2545,index_order,0.9970895180745526,50.34695471061053,0.0,0.01981217345853375,1
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,2023,shuffled,test,2545,full_permutation,0.03064333839528259,1.5665328299919803,0.05861196450188976,0.01981217345853375,0
DLinear_ETTh1_h720_fredf_s2021_det,ETTh1,DLinear,fredf,720,2021,deterministic,val,2161,index_order,0.9996998063814263,46.50565769246262,0.0,0.021506260076104466,1
DLinear_ETTh1_h720_fredf_s2021_det,ETTh1,DLinear,fredf,720,2021,deterministic,val,2161,full_permutation,0.0032135634442832903,0.17095145293677674,0.43213096925065714,0.021506260076104466,0
DLinear_ETTh1_h720_fredf_s2021_det,ETTh1,DLinear,fredf,720,2021,deterministic,test,2161,index_order,0.9962767697213751,46.34865929472309,0.0,0.02150525490599939,1
DLinear_ETTh1_h720_fredf_s2021_det,ETTh1,DLinear,fredf,720,2021,deterministic,test,2161,full_permutation,-0.013457494465182213,-0.604249126970084,0.7271609882584098,0.02150525490599939,0
DLinear_ETTh1_h720_none_s2021_det,ETTh1,DLinear,none,720,2021,deterministic,val,2161,index_order,0.9995481382316966,46.49951877949743,0.0,0.021505837639670036,1
DLinear_ETTh1_h720_none_s2021_det,ETTh1,DLinear,none,720,2021,deterministic,val,2161,full_permutation,0.006714994488163369,0.3337678620750745,0.36927736820321655,0.021505837639670032,0
DLinear_ETTh1_h720_none_s2021_det,ETTh1,DLinear,none,720,2021,deterministic,test,2161,index_order,0.9962212012693062,46.34477042550269,0.0,0.021505860425706458,1
DLinear_ETTh1_h720_none_s2021_det,ETTh1,DLinear,none,720,2021,deterministic,test,2161,full_permutation,-0.0022021383106401037,-0.08086983330358936,0.5322272645494915,0.021505860425706458,0
DLinear_ETTh1_h720_revin_s2021_det,ETTh1,DLinear,revin,720,2021,deterministic,val,2161,index_order,0.9994153291389414,46.50701106058906,0.0,0.02149951736952669,1
DLinear_ETTh1_h720_revin_s2021_det,ETTh1,DLinear,revin,720,2021,deterministic,val,2161,full_permutation,-0.03632660771209602,-1.6681139456630785,0.9523534453514293,0.02149951736952669,0
DLinear_ETTh1_h720_revin_s2021_det,ETTh1,DLinear,revin,720,2021,deterministic,test,2161,index_order,0.9932404302853236,46.21693176136412,0.0,0.021500851644136853,1
DLinear_ETTh1_h720_revin_s2021_det,ETTh1,DLinear,revin,720,2021,deterministic,test,2161,full_permutation,0.01716815353968888,0.8200194482742611,0.20610251016474135,0.021500851644136853,0
DLinear_ETTh1_h720_san_lite_s2021_det,ETTh1,DLinear,san_lite,720,2021,deterministic,val,2161,index_order,0.9995026300659261,46.509555378237536,0.0,0.021500218286257512,1
DLinear_ETTh1_h720_san_lite_s2021_det,ETTh1,DLinear,san_lite,720,2021,deterministic,val,2161,full_permutation,-0.00866599340843485,-0.3815324261482076,0.648595892541098,0.021500218286257512,0
DLinear_ETTh1_h720_san_lite_s2021_det,ETTh1,DLinear,san_lite,720,2021,deterministic,test,2161,index_order,0.9926646075634397,46.189959843212016,0.0,0.02150094033200054,1
DLinear_ETTh1_h720_san_lite_s2021_det,ETTh1,DLinear,san_lite,720,2021,deterministic,test,2161,full_permutation,0.03375682380143797,1.5915483804896906,0.05574310823235263,0.02150094033200054,0
DLinear_ETTh1_h96_fredf_s2021_det,ETTh1,DLinear,fredf,96,2021,deterministic,val,2785,index_order,0.999140191975131,52.82631842737207,0.0,0.01892048162984489,1
DLinear_ETTh1_h96_fredf_s2021_det,ETTh1,DLinear,fredf,96,2021,deterministic,val,2785,full_permutation,-0.005729375139037343,-0.2838289131217278,0.6117292520722188,0.01892048162984489,0
DLinear_ETTh1_h96_fredf_s2021_det,ETTh1,DLinear,fredf,96,2021,deterministic,test,2785,index_order,0.9977812490947793,52.77645211250166,0.0,0.01891260978228279,1
DLinear_ETTh1_h96_fredf_s2021_det,ETTh1,DLinear,fredf,96,2021,deterministic,test,2785,full_permutation,-0.007576007420236836,-0.3815873166641786,0.6486162532718289,0.01891260978228279,0
